candidate,excitation,resolution,lifetime_class,state_meaning,alternative_resolution_states,verdict,reason,id
OF,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,OF@ground
OF+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,OF+@ground
OF-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,OF-@ground
SF2,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF2@ground
SF2+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF2+@ground
SF2-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF2-@ground
SF3,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF3@ground
SF3+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF3+@ground
SF3-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF3-@ground
SOF3+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF3+@ground
SOF3-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF3-@ground
SOF4+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF4+@ground
SOF4-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF4-@ground
SOF5,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF5@ground
SOF5+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF5+@ground
SOF5-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF5-@ground
O2F2,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O2F2@ground
OF2,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,OF2@ground
S,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,S@ground
S+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,S+@ground
S-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,S-@ground
SF,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF@ground
SF+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF+@ground
SF-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SF-@ground
SOF+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF+@ground
SOF-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF-@ground
SOF3,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF3@ground
SOF4,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF4@ground
O2F2+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O2F2+@ground
O2F2-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O2F2-@ground
OF2+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,OF2+@ground
OF2-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,OF2-@ground
SO,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SO@ground
SO+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SO+@ground
SO-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SO-@ground
SOF,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,SOF@ground
